city,date,venue,winner
Bangalore,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders
Chandigarh,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
Delhi,2008-04-19,Feroz Shah Kotla,Delhi Daredevils
Mumbai,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore
Kolkata,2008-04-20,Eden Gardens,Kolkata Knight Riders
Jaipur,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
Chennai,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Hyderabad,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
Chandigarh,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Bangalore,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals
Chennai,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers
Chandigarh,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Bangalore,2008-04-28,M Chinnaswamy Stadium,Chennai Super Kings
Kolkata,2008-04-29,Eden Gardens,Mumbai Indians
Delhi,2008-04-30,Feroz Shah Kotla,Delhi Daredevils
Hyderabad,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
Jaipur,2008-05-01,Sawai Mansingh Stadium,Rajasthan Royals
Chennai,2008-05-02,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
Hyderabad,2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
Chandigarh,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Mumbai,2008-05-04,Dr DY Patil Sports Academy,Mumbai Indians
Jaipur,2008-05-04,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2008-05-05,M Chinnaswamy Stadium,Kings XI Punjab
Chennai,2008-05-06,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
Mumbai,2008-05-07,Dr DY Patil Sports Academy,Mumbai Indians
Delhi,2008-05-08,Feroz Shah Kotla,Chennai Super Kings
Kolkata,2008-05-08,Eden Gardens,Kolkata Knight Riders
Jaipur,2008-05-09,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2008-05-28,M Chinnaswamy Stadium,Mumbai Indians
Chennai,2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Hyderabad,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
Jaipur,2008-05-11,Sawai Mansingh Stadium,Rajasthan Royals
Chandigarh,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Kolkata,2008-05-13,Eden Gardens,Kolkata Knight Riders
Mumbai,2008-05-14,Wankhede Stadium,Mumbai Indians
Chandigarh,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Delhi,2008-05-15,Feroz Shah Kotla,Delhi Daredevils
Mumbai,2008-05-16,Wankhede Stadium,Mumbai Indians
Delhi,2008-05-17,Feroz Shah Kotla,Kings XI Punjab
Jaipur,2008-05-17,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
Kolkata,2008-05-18,Eden Gardens,Chennai Super Kings
Bangalore,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils
Kolkata,2008-05-20,Eden Gardens,Rajasthan Royals
Mumbai,2008-05-21,Wankhede Stadium,Kings XI Punjab
Chennai,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore
Chandigarh,2008-05-23,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Delhi,2008-05-24,Feroz Shah Kotla,Delhi Daredevils
Chennai,2008-05-24,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals
Bangalore,2008-05-03,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kolkata,2008-05-25,Eden Gardens,Kolkata Knight Riders
Jaipur,2008-05-26,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2008-05-27,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings
Mumbai,2008-05-30,Wankhede Stadium,Rajasthan Royals
Mumbai,2008-05-31,Wankhede Stadium,Chennai Super Kings
Mumbai,2008-06-01,Dr DY Patil Sports Academy,Rajasthan Royals
Cape Town,2009-04-18,Newlands,Mumbai Indians
Cape Town,2009-04-18,Newlands,Royal Challengers Bangalore
Cape Town,2009-04-19,Newlands,Delhi Daredevils
Cape Town,2009-04-19,Newlands,Deccan Chargers
Port Elizabeth,2009-04-20,St George's Park,Chennai Super Kings
Durban,2009-04-21,Kingsmead,Kolkata Knight Riders
Cape Town,2009-04-22,Newlands,Deccan Chargers
Durban,2009-04-23,Kingsmead,Delhi Daredevils
Cape Town,2009-04-23,Newlands,Rajasthan Royals
Durban,2009-04-24,Kingsmead,Kings XI Punjab
Durban,2009-04-25,Kingsmead,Deccan Chargers
Port Elizabeth,2009-04-26,St George's Park,Delhi Daredevils
Cape Town,2009-04-26,Newlands,Kings XI Punjab
Durban,2009-04-27,Kingsmead,Deccan Chargers
Port Elizabeth,2009-04-27,St George's Park,Mumbai Indians
Centurion,2009-04-28,SuperSport Park,Rajasthan Royals
Durban,2009-04-29,Kingsmead,Royal Challengers Bangalore
Durban,2009-04-29,Kingsmead,Kings XI Punjab
Centurion,2009-04-30,SuperSport Park,Delhi Daredevils
Centurion,2009-04-30,SuperSport Park,Chennai Super Kings
East London,2009-05-01,Buffalo Park,Mumbai Indians
Durban,2009-05-01,Kingsmead,Royal Challengers Bangalore
Port Elizabeth,2009-05-02,St George's Park,Rajasthan Royals
Johannesburg,2009-05-02,New Wanderers Stadium,Chennai Super Kings
Port Elizabeth,2009-05-03,St George's Park,Kings XI Punjab
Johannesburg,2009-05-03,New Wanderers Stadium,Royal Challengers Bangalore
East London,2009-05-04,Buffalo Park,Chennai Super Kings
Durban,2009-05-05,Kingsmead,Rajasthan Royals
Durban,2009-05-05,Kingsmead,Delhi Daredevils
Centurion,2009-05-06,SuperSport Park,Deccan Chargers
Centurion,2009-05-07,SuperSport Park,Rajasthan Royals
Centurion,2009-05-07,SuperSport Park,Chennai Super Kings
East London,2009-05-08,Buffalo Park,Delhi Daredevils
Kimberley,2009-05-09,De Beers Diamond Oval,Kings XI Punjab
Kimberley,2009-05-09,De Beers Diamond Oval,Chennai Super Kings
Port Elizabeth,2009-05-10,St George's Park,Mumbai Indians
Johannesburg,2009-05-10,New Wanderers Stadium,Delhi Daredevils
Kimberley,2009-05-11,De Beers Diamond Oval,Deccan Chargers
Centurion,2009-05-12,SuperSport Park,Royal Challengers Bangalore
Centurion,2009-05-12,SuperSport Park,Mumbai Indians
Durban,2009-05-13,Kingsmead,Delhi Daredevils
Durban,2009-05-14,Kingsmead,Royal Challengers Bangalore
Durban,2009-05-14,Kingsmead,Rajasthan Royals
Bloemfontein,2009-05-15,OUTsurance Oval,Kings XI Punjab
Port Elizabeth,2009-05-16,St George's Park,Chennai Super Kings
Johannesburg,2009-05-16,New Wanderers Stadium,Deccan Chargers
Johannesburg,2009-05-17,New Wanderers Stadium,Kings XI Punjab
Bloemfontein,2009-05-17,OUTsurance Oval,Delhi Daredevils
Centurion,2009-05-18,SuperSport Park,Kolkata Knight Riders
Johannesburg,2009-05-19,New Wanderers Stadium,Royal Challengers Bangalore
Durban,2009-05-20,Kingsmead,Kolkata Knight Riders
Durban,2009-05-20,Kingsmead,Chennai Super Kings
Centurion,2009-05-21,SuperSport Park,Delhi Daredevils
Centurion,2009-05-21,SuperSport Park,Royal Challengers Bangalore
Centurion,2009-05-22,SuperSport Park,Deccan Chargers
Johannesburg,2009-05-23,New Wanderers Stadium,Royal Challengers Bangalore
Johannesburg,2009-05-24,New Wanderers Stadium,Deccan Chargers
Mumbai,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders
Mumbai,2010-03-13,Brabourne Stadium,Mumbai Indians
Chandigarh,2010-03-13,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
Kolkata,2010-03-14,Eden Gardens,Kolkata Knight Riders
Chennai,2010-03-14,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
Ahmedabad,2010-03-15,"Sardar Patel Stadium, Motera",Delhi Daredevils
Bangalore,2010-03-16,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kolkata,2010-03-16,Eden Gardens,Chennai Super Kings
Delhi,2010-03-17,Feroz Shah Kotla,Mumbai Indians
Bangalore,2010-03-18,M Chinnaswamy Stadium,Royal Challengers Bangalore
Delhi,2010-03-19,Feroz Shah Kotla,Chennai Super Kings
Cuttack,2010-03-19,Barabati Stadium,Deccan Chargers
Ahmedabad,2010-03-20,"Sardar Patel Stadium, Motera",Rajasthan Royals
Mumbai,2010-03-20,Brabourne Stadium,Royal Challengers Bangalore
Cuttack,2010-03-21,Barabati Stadium,Deccan Chargers
Chennai,2010-03-21,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab
Mumbai,2010-03-22,Brabourne Stadium,Mumbai Indians
Bangalore,2010-03-23,M Chinnaswamy Stadium,Royal Challengers Bangalore
Chandigarh,2010-03-24,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals
Mumbai,2010-03-25,Brabourne Stadium,Mumbai Indians
Ahmedabad,2010-03-26,"Sardar Patel Stadium, Motera",Rajasthan Royals
Chandigarh,2010-03-27,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
Bangalore,2010-03-25,M Chinnaswamy Stadium,Delhi Daredevils
Ahmedabad,2010-03-28,"Sardar Patel Stadium, Motera",Rajasthan Royals
Mumbai,2010-03-28,Dr DY Patil Sports Academy,Mumbai Indians
Delhi,2010-03-29,Feroz Shah Kotla,Delhi Daredevils
Mumbai,2010-03-30,Brabourne Stadium,Mumbai Indians
Chennai,2010-03-31,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Delhi,2010-03-31,Feroz Shah Kotla,Delhi Daredevils
Kolkata,2010-04-01,Eden Gardens,Kolkata Knight Riders
Chandigarh,2010-04-02,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore
Chennai,2010-04-03,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2010-04-03,Brabourne Stadium,Mumbai Indians
Kolkata,2010-04-04,Eden Gardens,Kings XI Punjab
Delhi,2010-04-04,Feroz Shah Kotla,Delhi Daredevils
Nagpur,2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals
Chennai,2010-04-06,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Jaipur,2010-04-07,Sawai Mansingh Stadium,Rajasthan Royals
Kolkata,2010-04-07,Eden Gardens,Kolkata Knight Riders
Bangalore,2010-04-08,M Chinnaswamy Stadium,Deccan Chargers
Chandigarh,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Nagpur,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers
Bangalore,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore
Delhi,2010-04-11,Feroz Shah Kotla,Kings XI Punjab
Jaipur,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians
Nagpur,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers
Mumbai,2010-04-13,Brabourne Stadium,Mumbai Indians
Chennai,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Jaipur,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore
Chennai,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
Dharamsala,2010-04-16,Himachal Pradesh Cricket Association Stadium,Deccan Chargers
Bangalore,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians
Kolkata,2010-04-17,Eden Gardens,Kolkata Knight Riders
Dharamsala,2010-04-18,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings
Delhi,2010-04-18,Feroz Shah Kotla,Deccan Chargers
Kolkata,2010-04-19,Eden Gardens,Kolkata Knight Riders
Mumbai,2010-04-21,Dr DY Patil Sports Academy,Mumbai Indians
Mumbai,2010-04-22,Dr DY Patil Sports Academy,Chennai Super Kings
Mumbai,2010-04-24,Dr DY Patil Sports Academy,Royal Challengers Bangalore
Mumbai,2010-04-25,Dr DY Patil Sports Academy,Chennai Super Kings
Chennai,2011-04-08,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Hyderabad,2011-04-09,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
Kochi,2011-04-09,Nehru Stadium,Royal Challengers Bangalore
Delhi,2011-04-10,Feroz Shah Kotla,Mumbai Indians
Mumbai,2011-04-10,Dr DY Patil Sports Academy,Pune Warriors
Kolkata,2011-04-11,Eden Gardens,Kolkata Knight Riders
Jaipur,2011-04-12,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2011-04-12,M Chinnaswamy Stadium,Mumbai Indians
Chandigarh,2011-04-13,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Mumbai,2011-04-13,Dr DY Patil Sports Academy,Pune Warriors
Hyderabad,2011-04-14,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
Jaipur,2011-04-15,Sawai Mansingh Stadium,Kolkata Knight Riders
Mumbai,2011-04-15,Wankhede Stadium,Kochi Tuskers Kerala
Chennai,2011-04-16,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Hyderabad,2011-04-16,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
Mumbai,2011-04-17,Dr DY Patil Sports Academy,Delhi Daredevils
Kolkata,2011-04-17,Eden Gardens,Kolkata Knight Riders
Kochi,2011-04-18,Nehru Stadium,Kochi Tuskers Kerala
Delhi,2011-04-19,Feroz Shah Kotla,Deccan Chargers
Mumbai,2011-04-20,Wankhede Stadium,Mumbai Indians
Kolkata,2011-04-20,Eden Gardens,Kochi Tuskers Kerala
Chandigarh,2011-04-21,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Mumbai,2011-04-22,Wankhede Stadium,Mumbai Indians
Kolkata,2011-04-22,Eden Gardens,Royal Challengers Bangalore
Delhi,2011-04-23,Feroz Shah Kotla,Delhi Daredevils
Hyderabad,2011-04-24,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
Jaipur,2011-04-24,Sawai Mansingh Stadium,Rajasthan Royals
Chennai,2011-04-25,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Delhi,2011-04-26,Feroz Shah Kotla,Royal Challengers Bangalore
Mumbai,2011-04-27,Dr DY Patil Sports Academy,Chennai Super Kings
Kochi,2011-04-27,Nehru Stadium,Deccan Chargers
Delhi,2011-04-28,Feroz Shah Kotla,Kolkata Knight Riders
Jaipur,2011-04-29,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2011-04-29,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kochi,2011-04-30,Nehru Stadium,Delhi Daredevils
Kolkata,2011-04-30,Eden Gardens,Kolkata Knight Riders
Jaipur,2011-05-01,Sawai Mansingh Stadium,Rajasthan Royals
Chennai,2011-05-01,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2011-05-02,Wankhede Stadium,Mumbai Indians
Delhi,2011-05-02,Feroz Shah Kotla,Kochi Tuskers Kerala
Hyderabad,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
Chennai,2011-05-04,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2011-05-04,Dr DY Patil Sports Academy,Mumbai Indians
Kochi,2011-05-05,Nehru Stadium,Kochi Tuskers Kerala
Hyderabad,2011-05-05,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
Bangalore,2011-05-06,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kolkata,2011-05-07,Eden Gardens,Kolkata Knight Riders
Mumbai,2011-05-07,Wankhede Stadium,Mumbai Indians
Bangalore,2011-05-08,M Chinnaswamy Stadium,Royal Challengers Bangalore
Chandigarh,2011-05-08,"Punjab Cricket Association Stadium, Mohali",Pune Warriors
Jaipur,2011-05-09,Sawai Mansingh Stadium,Chennai Super Kings
Hyderabad,2011-05-10,"Rajiv Gandhi International Stadium, Uppal",Pune Warriors
Chandigarh,2011-05-10,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Jaipur,2011-05-11,Sawai Mansingh Stadium,Royal Challengers Bangalore
Chennai,2011-05-12,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Indore,2011-05-13,Holkar Cricket Stadium,Kings XI Punjab
Bangalore,2011-05-14,M Chinnaswamy Stadium,Royal Challengers Bangalore
Mumbai,2011-05-14,Wankhede Stadium,Deccan Chargers
Dharamsala,2011-05-15,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab
Indore,2011-05-15,Holkar Cricket Stadium,Kochi Tuskers Kerala
Mumbai,2011-05-16,Dr DY Patil Sports Academy,Deccan Chargers
Dharamsala,2011-05-17,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab
Chennai,2011-05-18,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2011-05-19,Dr DY Patil Sports Academy,Kolkata Knight Riders
Mumbai,2011-05-20,Wankhede Stadium,Rajasthan Royals
Dharamsala,2011-05-21,Himachal Pradesh Cricket Association Stadium,Deccan Chargers
Delhi,2011-05-21,Feroz Shah Kotla,
Bangalore,2011-05-22,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kolkata,2011-05-22,Eden Gardens,Mumbai Indians
Mumbai,2011-05-24,Wankhede Stadium,Chennai Super Kings
Mumbai,2011-05-25,Wankhede Stadium,Mumbai Indians
Chennai,2011-05-27,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore
Chennai,2011-05-28,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Chennai,2012-04-04,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
Kolkata,2012-04-05,Eden Gardens,Delhi Daredevils
Mumbai,2012-04-06,Wankhede Stadium,Pune Warriors
Jaipur,2012-04-06,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2012-04-07,M Chinnaswamy Stadium,Royal Challengers Bangalore
Visakhapatnam,2012-04-07,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings
Jaipur,2012-04-08,Sawai Mansingh Stadium,Rajasthan Royals
Pune,2012-04-08,Subrata Roy Sahara Stadium,Pune Warriors
Visakhapatnam,2012-04-09,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians
Bangalore,2012-04-10,M Chinnaswamy Stadium,Kolkata Knight Riders
Delhi,2012-04-10,Feroz Shah Kotla,Delhi Daredevils
Mumbai,2012-04-11,Wankhede Stadium,Mumbai Indians
Chennai,2012-04-12,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Chandigarh,2012-04-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Kolkata,2012-04-13,Eden Gardens,Kolkata Knight Riders
Delhi,2012-04-19,Feroz Shah Kotla,Delhi Daredevils
Pune,2012-04-14,Subrata Roy Sahara Stadium,Pune Warriors
Kolkata,2012-04-15,Eden Gardens,Kings XI Punjab
Bangalore,2012-04-15,M Chinnaswamy Stadium,Rajasthan Royals
Mumbai,2012-04-16,Wankhede Stadium,Delhi Daredevils
Jaipur,2012-04-17,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2012-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore
Chandigarh,2012-04-18,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
Hyderabad,2012-05-10,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
Chennai,2012-04-19,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Chandigarh,2012-04-20,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore
Chennai,2012-04-21,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Delhi,2012-04-21,Feroz Shah Kotla,Pune Warriors
Mumbai,2012-04-22,Wankhede Stadium,Kings XI Punjab
Cuttack,2012-04-22,Barabati Stadium,Kolkata Knight Riders
Jaipur,2012-04-23,Sawai Mansingh Stadium,Royal Challengers Bangalore
Pune,2012-04-24,Subrata Roy Sahara Stadium,Delhi Daredevils
Chandigarh,2012-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
Pune,2012-04-26,Subrata Roy Sahara Stadium,Deccan Chargers
