city,date,venue,winner
Hyderabad,2016-05-06,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Bangalore,2016-05-07,M Chinnaswamy Stadium,Royal Challengers Bangalore
Chandigarh,2016-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Visakhapatnam,2016-05-08,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad
Kolkata,2016-05-08,Eden Gardens,Gujarat Lions
Chandigarh,2016-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore
Visakhapatnam,2016-05-10,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad
Bangalore,2016-05-11,M Chinnaswamy Stadium,Mumbai Indians
Hyderabad,2016-05-12,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
Visakhapatnam,2016-05-13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab
Bangalore,2016-05-14,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kolkata,2016-05-14,Eden Gardens,Kolkata Knight Riders
Chandigarh,2016-05-15,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad
Visakhapatnam,2016-05-15,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians
Kolkata,2016-05-16,Eden Gardens,Royal Challengers Bangalore
Visakhapatnam,2016-05-17,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants
Bangalore,2016-05-18,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kanpur,2016-05-19,Green Park,Gujarat Lions
Raipur,2016-05-20,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils
Visakhapatnam,2016-05-21,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants
Kanpur,2016-05-21,Green Park,Gujarat Lions
Kolkata,2016-05-22,Eden Gardens,Kolkata Knight Riders
Raipur,2016-05-22,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore
Bangalore,2016-05-24,M Chinnaswamy Stadium,Royal Challengers Bangalore
Delhi,2016-05-25,Feroz Shah Kotla,Sunrisers Hyderabad
Delhi,2016-05-27,Feroz Shah Kotla,Sunrisers Hyderabad
Bangalore,2016-05-29,M Chinnaswamy Stadium,Sunrisers Hyderabad
Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Pune,2017-04-06,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
Rajkot,2017-04-07,Saurashtra Cricket Association Stadium,Kolkata Knight Riders
Indore,2017-04-08,Holkar Cricket Stadium,Kings XI Punjab
Bengaluru,2017-04-08,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Hyderabad,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Mumbai,2017-04-09,Wankhede Stadium,Mumbai Indians
Indore,2017-04-10,Holkar Cricket Stadium,Kings XI Punjab
Pune,2017-04-11,Maharashtra Cricket Association Stadium,Delhi Daredevils
Mumbai,2017-04-12,Wankhede Stadium,Mumbai Indians
Kolkata,2017-04-13,Eden Gardens,Kolkata Knight Riders
Bangalore,2017-04-14,M Chinnaswamy Stadium,Mumbai Indians
Rajkot,2017-04-14,Saurashtra Cricket Association Stadium,Gujarat Lions
Kolkata,2017-04-15,Eden Gardens,Kolkata Knight Riders
Delhi,2017-04-15,Feroz Shah Kotla,Delhi Daredevils
Mumbai,2017-04-16,Wankhede Stadium,Mumbai Indians
Bangalore,2017-04-16,M Chinnaswamy Stadium,Rising Pune Supergiant
Delhi,2017-04-17,Feroz Shah Kotla,Kolkata Knight Riders
Hyderabad,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Rajkot,2017-04-18,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore
Hyderabad,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Indore,2017-04-20,Holkar Cricket Stadium,Mumbai Indians
Kolkata,2017-04-21,Eden Gardens,Gujarat Lions
Mumbai,2017-04-22,Wankhede Stadium,Mumbai Indians
Pune,2017-04-22,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
Rajkot,2017-04-23,Saurashtra Cricket Association Stadium,Kings XI Punjab
Kolkata,2017-04-23,Eden Gardens,Kolkata Knight Riders
Mumbai,2017-04-24,Wankhede Stadium,Rising Pune Supergiant
Pune,2017-04-26,Maharashtra Cricket Association Stadium,Kolkata Knight Riders
Bangalore,2017-04-27,M Chinnaswamy Stadium,Gujarat Lions
Kolkata,2017-04-28,Eden Gardens,Kolkata Knight Riders
Chandigarh,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad
Pune,2017-04-29,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
Rajkot,2017-04-29,Saurashtra Cricket Association Stadium,Mumbai Indians
Chandigarh,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Hyderabad,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Mumbai,2017-05-01,Wankhede Stadium,Mumbai Indians
Pune,2017-05-01,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
Delhi,2017-05-02,Feroz Shah Kotla,Delhi Daredevils
Kolkata,2017-05-03,Eden Gardens,Rising Pune Supergiant
Delhi,2017-05-04,Feroz Shah Kotla,Delhi Daredevils
Bangalore,2017-05-05,M Chinnaswamy Stadium,Kings XI Punjab
Hyderabad,2017-05-06,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant
Delhi,2017-05-06,Feroz Shah Kotla,Mumbai Indians
Bangalore,2017-05-07,M Chinnaswamy Stadium,Kolkata Knight Riders
Chandigarh,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions
Hyderabad,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Chandigarh,2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Kanpur,2017-05-10,Green Park,Delhi Daredevils
Mumbai,2017-05-11,Wankhede Stadium,Kings XI Punjab
Delhi,2017-05-12,Feroz Shah Kotla,Delhi Daredevils
Kanpur,2017-05-13,Green Park,Sunrisers Hyderabad
Kolkata,2017-05-13,Eden Gardens,Mumbai Indians
Pune,2017-05-14,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
Delhi,2017-05-14,Feroz Shah Kotla,Royal Challengers Bangalore
Mumbai,2017-05-16,Wankhede Stadium,Rising Pune Supergiant
Bangalore,2017-05-17,M Chinnaswamy Stadium,Kolkata Knight Riders
Bangalore,2017-05-19,M Chinnaswamy Stadium,Mumbai Indians
Hyderabad,2017-05-21,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
Mumbai,2018-04-07,Wankhede Stadium,Chennai Super Kings
Chandigarh,2018-04-08,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Kolkata,2018-04-08,Eden Gardens,Kolkata Knight Riders
Hyderabad,2018-04-09,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Chennai,2018-04-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Jaipur,2018-04-11,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2018-04-12,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Bengaluru,2018-04-13,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Mumbai,2018-04-14,Wankhede Stadium,Delhi Daredevils
Kolkata,2018-04-14,Eden Gardens,Sunrisers Hyderabad
Bengaluru,2018-04-15,M.Chinnaswamy Stadium,Rajasthan Royals
Chandigarh,2018-04-15,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Kolkata,2018-04-16,Eden Gardens,Kolkata Knight Riders
Mumbai,2018-04-17,Wankhede Stadium,Mumbai Indians
Jaipur,2018-04-18,Sawai Mansingh Stadium,Kolkata Knight Riders
Chandigarh,2018-04-19,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Pune,2018-04-20,Maharashtra Cricket Association Stadium,Chennai Super Kings
Kolkata,2018-04-21,Eden Gardens,Kings XI Punjab
Bengaluru,2018-04-21,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Hyderabad,2018-04-22,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings
Jaipur,2018-04-22,Sawai Mansingh Stadium,Rajasthan Royals
Delhi,2018-04-23,Feroz Shah Kotla,Kings XI Punjab
Mumbai,2018-04-24,Wankhede Stadium,Sunrisers Hyderabad
Bengaluru,2018-04-25,M.Chinnaswamy Stadium,Chennai Super Kings
Hyderabad,2018-04-26,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Delhi,2018-04-27,Feroz Shah Kotla,Delhi Daredevils
Pune,2018-04-28,Maharashtra Cricket Association Stadium,Mumbai Indians
Jaipur,2018-04-29,Sawai Mansingh Stadium,Sunrisers Hyderabad
Bengaluru,2018-04-29,M.Chinnaswamy Stadium,Kolkata Knight Riders
Pune,2018-04-30,Maharashtra Cricket Association Stadium,Chennai Super Kings
Bengaluru,2018-05-01,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Delhi,2018-05-02,Feroz Shah Kotla,Delhi Daredevils
Kolkata,2018-05-03,Eden Gardens,Kolkata Knight Riders
Indore,2018-05-04,Holkar Cricket Stadium,Mumbai Indians
Pune,2018-05-05,Maharashtra Cricket Association Stadium,Chennai Super Kings
Hyderabad,2018-05-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Mumbai,2018-05-06,Wankhede Stadium,Mumbai Indians
Indore,2018-05-06,Holkar Cricket Stadium,Kings XI Punjab
Hyderabad,2018-05-07,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Jaipur,2018-05-08,Sawai Mansingh Stadium,Rajasthan Royals
Kolkata,2018-05-09,Eden Gardens,Mumbai Indians
Delhi,2018-05-10,Feroz Shah Kotla,Sunrisers Hyderabad
Jaipur,2018-05-11,Sawai Mansingh Stadium,Rajasthan Royals
Indore,2018-05-12,Holkar Cricket Stadium,Kolkata Knight Riders
Delhi,2018-05-12,Feroz Shah Kotla,Royal Challengers Bangalore
Pune,2018-05-13,Maharashtra Cricket Association Stadium,Chennai Super Kings
Mumbai,2018-05-13,Wankhede Stadium,Rajasthan Royals
Indore,2018-05-14,Holkar Cricket Stadium,Royal Challengers Bangalore
Kolkata,2018-05-15,Eden Gardens,Kolkata Knight Riders
Mumbai,2018-05-16,Wankhede Stadium,Mumbai Indians
Bengaluru,2018-05-17,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Delhi,2018-05-18,Feroz Shah Kotla,Delhi Daredevils
Jaipur,2018-05-19,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2018-05-19,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
Delhi,2018-05-20,Feroz Shah Kotla,Delhi Daredevils
Pune,2018-05-20,Maharashtra Cricket Association Stadium,Chennai Super Kings
Mumbai,2018-05-22,Wankhede Stadium,Chennai Super Kings
Kolkata,2018-05-23,Eden Gardens,Kolkata Knight Riders
Kolkata,2018-05-25,Eden Gardens,Sunrisers Hyderabad
Mumbai,2018-05-27,Wankhede Stadium,Chennai Super Kings
Chennai,2019-03-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Kolkata,2019-03-24,Eden Gardens,Kolkata Knight Riders
Mumbai,2019-03-24,Wankhede Stadium,Delhi Capitals
Jaipur,2019-03-25,Sawai Mansingh Stadium,Kings XI Punjab
Delhi,2019-03-26,Feroz Shah Kotla,Chennai Super Kings
Kolkata,2019-03-27,Eden Gardens,Kolkata Knight Riders
Bengaluru,2019-03-28,M.Chinnaswamy Stadium,Mumbai Indians
Hyderabad,2019-03-29,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Chandigarh,2019-03-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Delhi,2019-03-30,Feroz Shah Kotla,Delhi Capitals
Hyderabad,2019-03-31,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Chennai,2019-03-31,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Chandigarh,2019-04-01,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Jaipur,2019-04-02,Sawai Mansingh Stadium,Rajasthan Royals
Mumbai,2019-04-03,Wankhede Stadium,Mumbai Indians
Delhi,2019-04-04,Feroz Shah Kotla,Sunrisers Hyderabad
Bengaluru,2019-04-05,M.Chinnaswamy Stadium,Kolkata Knight Riders
Chennai,2019-04-06,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Hyderabad,2019-04-06,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
Bengaluru,2019-04-07,M.Chinnaswamy Stadium,Delhi Capitals
Jaipur,2019-04-07,Sawai Mansingh Stadium,Kolkata Knight Riders
Chandigarh,2019-04-08,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Chennai,2019-04-09,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2019-04-10,Wankhede Stadium,Mumbai Indians
Jaipur,2019-04-11,Sawai Mansingh Stadium,Chennai Super Kings
Kolkata,2019-04-12,Eden Gardens,Delhi Capitals
Mumbai,2019-04-13,Wankhede Stadium,Rajasthan Royals
Chandigarh,2019-04-13,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore
Kolkata,2019-04-14,Eden Gardens,Chennai Super Kings
Hyderabad,2019-04-14,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals
Mumbai,2019-04-15,Wankhede Stadium,Mumbai Indians
Chandigarh,2019-04-16,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Hyderabad,2019-04-17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Delhi,2019-04-18,Feroz Shah Kotla,Mumbai Indians
Kolkata,2019-04-19,Eden Gardens,Royal Challengers Bangalore
Jaipur,2019-04-20,Sawai Mansingh Stadium,Rajasthan Royals
Delhi,2019-04-20,Feroz Shah Kotla,Delhi Capitals
Hyderabad,2019-04-21,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Bengaluru,2019-04-21,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Jaipur,2019-04-22,Sawai Mansingh Stadium,Delhi Capitals
Chennai,2019-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Bengaluru,2019-04-24,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Kolkata,2019-04-25,Eden Gardens,Rajasthan Royals
Chennai,2019-04-26,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
Jaipur,2019-04-27,Sawai Mansingh Stadium,Rajasthan Royals
Delhi,2019-04-28,Feroz Shah Kotla,Delhi Capitals
Kolkata,2019-04-28,Eden Gardens,Kolkata Knight Riders
Hyderabad,2019-04-29,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
Bengaluru,2019-04-30,M.Chinnaswamy Stadium,
Chennai,2019-05-01,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2019-05-02,Wankhede Stadium,Mumbai Indians
Chandigarh,2019-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders
Delhi,2019-05-04,Feroz Shah Kotla,Delhi Capitals
Bengaluru,2019-05-04,M.Chinnaswamy Stadium,Royal Challengers Bangalore
Chandigarh,2019-05-05,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
Mumbai,2019-05-05,Wankhede Stadium,Mumbai Indians
Chennai,2019-05-07,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
Visakhapatnam,2019-05-08,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals
Visakhapatnam,2019-05-10,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings
Hyderabad,2019-05-12,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
Abu Dhabi,2020-09-19,Sheikh Zayed Stadium,Chennai Super Kings
Dubai,2020-09-20,Dubai International Cricket Stadium,Delhi Capitals
Abu Dhabi,2020-10-21,Sheikh Zayed Stadium,Royal Challengers Bangalore
Sharjah,2020-11-03,Sharjah Cricket Stadium,Sunrisers Hyderabad
Sharjah,2020-09-22,Sharjah Cricket Stadium,Rajasthan Royals
Abu Dhabi,2020-10-24,Sheikh Zayed Stadium,Kolkata Knight Riders
Dubai,2020-10-24,Dubai International Cricket Stadium,Kings XI Punjab
Abu Dhabi,2020-10-28,Sheikh Zayed Stadium,Mumbai Indians
Sharjah,2020-10-09,Sharjah Cricket Stadium,Delhi Capitals
Abu Dhabi,2020-10-07,Sheikh Zayed Stadium,Kolkata Knight Riders
Sharjah,2020-10-31,Sharjah Cricket Stadium,Sunrisers Hyderabad
Abu Dhabi,2020-10-01,Sheikh Zayed Stadium,Mumbai Indians
Dubai,2020-09-30,Dubai International Cricket Stadium,Kolkata Knight Riders
Abu Dhabi,2020-11-02,Sheikh Zayed Stadium,Delhi Capitals
Abu Dhabi,2020-11-01,Sheikh Zayed Stadium,Chennai Super Kings
Dubai,2020-10-11,Dubai International Cricket Stadium,Rajasthan Royals
Abu Dhabi,2020-09-23,Sheikh Zayed Stadium,Mumbai Indians
Sharjah,2020-10-17,Sharjah Cricket Stadium,Delhi Capitals
Dubai,2020-09-24,Dubai International Cricket Stadium,Kings XI Punjab
Abu Dhabi,2020-10-06,Sheikh Zayed Stadium,Mumbai Indians
Abu Dhabi,2020-10-18,Sheikh Zayed Stadium,Kolkata Knight Riders
Dubai,2020-10-04,Dubai International Cricket Stadium,Chennai Super Kings
Abu Dhabi,2020-10-03,Sheikh Zayed Stadium,Royal Challengers Bangalore
Sharjah,2020-10-03,Sharjah Cricket Stadium,Delhi Capitals
Dubai,2020-10-02,Dubai International Cricket Stadium,Sunrisers Hyderabad
Dubai,2020-10-18,Dubai International Cricket Stadium,Kings XI Punjab
Dubai,2020-10-22,Dubai International Cricket Stadium,Sunrisers Hyderabad
Dubai,2020-10-05,Dubai International Cricket Stadium,Delhi Capitals
Sharjah,2020-10-26,Sharjah Cricket Stadium,Kings XI Punjab
Sharjah,2020-10-23,Sharjah Cricket Stadium,Mumbai Indians
Dubai,2020-10-17,Dubai International Cricket Stadium,Royal Challengers Bangalore
Abu Dhabi,2020-10-10,Sheikh Zayed Stadium,Kolkata Knight Riders
Dubai,2020-10-27,Dubai International Cricket Stadium,Sunrisers Hyderabad
Dubai,2020-10-10,Dubai International Cricket Stadium,Royal Challengers Bangalore
Abu Dhabi,2020-10-16,Sheikh Zayed Stadium,Mumbai Indians
Sharjah,2020-09-27,Sharjah Cricket Stadium,Rajasthan Royals
Dubai,2020-10-13,Dubai International Cricket Stadium,Chennai Super Kings
Abu Dhabi,2020-10-11,Sheikh Zayed Stadium,Mumbai Indians
Dubai,2020-11-01,Dubai International Cricket Stadium,Kolkata Knight Riders
Sharjah,2020-10-15,Sharjah Cricket Stadium,Kings XI Punjab
Abu Dhabi,2020-09-29,Sheikh Zayed Stadium,Sunrisers Hyderabad
Abu Dhabi,2020-10-19,Sheikh Zayed Stadium,Rajasthan Royals
Dubai,2020-09-21,Dubai International Cricket Stadium,Royal Challengers Bangalore
Dubai,2020-10-31,Dubai International Cricket Stadium,Mumbai Indians
Dubai,2020-10-29,Dubai International Cricket Stadium,Chennai Super Kings
Abu Dhabi,2020-10-30,Sheikh Zayed Stadium,Rajasthan Royals
Sharjah,2020-10-04,Sharjah Cricket Stadium,Mumbai Indians
Dubai,2020-09-25,Dubai International Cricket Stadium,Delhi Capitals
Sharjah,2020-10-12,Sharjah Cricket Stadium,Royal Challengers Bangalore
Abu Dhabi,2020-10-25,Sheikh Zayed Stadium,Rajasthan Royals
Dubai,2020-10-08,Dubai International Cricket Stadium,Sunrisers Hyderabad
Dubai,2020-10-14,Dubai International Cricket Stadium,Delhi Capitals
Dubai,2020-10-25,Dubai International Cricket Stadium,Chennai Super Kings
Abu Dhabi,2020-09-26,Sheikh Zayed Stadium,Kolkata Knight Riders
Dubai,2020-10-20,Dubai International Cricket Stadium,Kings XI Punjab
Dubai,2020-09-28,Dubai International Cricket Stadium,Royal Challengers Bangalore
Dubai,2020-11-05,Dubai International Cricket Stadium,Mumbai Indians
Abu Dhabi,2020-11-06,Sheikh Zayed Stadium,Sunrisers Hyderabad
Abu Dhabi,2020-11-08,Sheikh Zayed Stadium,Delhi Capitals
Dubai,2020-11-10,Dubai International Cricket Stadium,Mumbai Indians
